Source_id,RA,E_RA,E_RA_tot,DEC,E_DEC,E_DEC_tot,Peak_flux,E_Peak_flux,E_Peak_flux_tot,Total_flux,E_Total_flux,E_Total_flux_tot,Resolved,Isl_rms,S_Code,Mosaic_ID
ILTJ133915.6+563829.2,204.814874906499,0.0772252074887641,1.70175313505563,56.6414439689495,0.0794293027881345,1.70185458078574,1050.64269379576,7.43031407209262,210.259868658444,1140.13800436769,12.5299084557219,228.371594919444,U,7.29021476581693,S,P205+55
ILTJ133130.0+542632.2,202.875033512584,0.102941182215992,1.70311387963225,54.4422893068056,0.093404699378192,1.70256407746256,733.878907432377,5.26916837860601,146.870331130449,1115.12866178668,8.06042315670195,223.171341607723,U,4.95360000059009,S,P205+55
ILTJ132635.7+551443.0,201.648828432157,0.0667589246670302,1.7013103050363,55.2452746983309,0.06961961162613,1.70142495876926,901.848454803109,5.60386219410541,180.456722481377,961.660396091612,9.50428586443027,192.566768021473,U,5.51993073895574,S,P200+55
ILTJ133534.9+563115.8,203.895477595213,0.105854248067263,1.70329243579424,56.5210447703635,0.114411418314499,1.70384564225775,774.526315150825,6.14077504724264,155.026931959016,958.893787416189,14.7891821871137,192.3481523997,U,6.14077504724264,M,P205+55
ILTJ133222.3+532817.7,203.092935056918,0.109499585518779,1.70352286724563,53.4715852450185,0.10284920211815,1.70310832256094,780.846384007804,7.05005630721617,156.328328560941,956.869381205646,11.4393738857223,191.715465684051,U,6.75411848351359,S,P41
ILTJ134231.2+563644.2,205.630098047066,0.085992082632314,1.70217350416326,56.6122789417074,0.0858785706200551,1.7021677734265,816.590613886398,6.13965088334969,163.43348659459,943.894892625246,10.1457905627541,189.051421044922,U,5.94534166157246,S,P205+55
ILTJ132703.1+543041.0,201.762770895294,0.135913961557347,1.70542446474366,54.5113792616838,0.0950318683773013,1.70265412107312,526.684284571288,4.22556512057781,105.421576658495,805.933778701055,10.2110613703166,161.509863477011,U,4.22556512057781,M,P200+55
ILTJ133204.0+555201.3,203.016540779309,0.0859417272436867,1.70217096100293,55.8670253811489,0.0696566466558576,1.70142647458635,633.558076226108,4.16979333385825,126.780205925453,788.926861076513,10.0740878478126,158.106644171227,U,4.16979333385825,M,P205+55
ILTJ134834.0+553512.5,207.141824591349,0.0934658899109041,1.70256743554458,55.5868063401582,0.103385033851733,1.70314076494708,548.137889517878,4.1159663446896,109.704817651529,774.829212921756,6.42664271328149,155.099046110678,U,3.89343942515552,S,P205+55
ILTJ133749.7+550102.7,204.457106361335,0.10164049556542,1.70303575721086,55.0174085770978,0.103404210141437,1.70314192910485,639.667455813835,5.9767707668725,128.073025848121,681.49094871171,10.1399157872798,136.674849256228,U,5.88860735297203,S,P205+55
ILTJ133037.6+534411.6,202.65653200292,0.0980681113602731,1.70282628428908,53.7365659594408,0.116086200983775,1.70395892147048,492.718571628781,4.49387659162599,98.6461279520743,596.624531956089,7.32638708455683,119.549609924021,U,4.32078493759036,S,P41
ILTJ134533.5+560902.8,206.389529187737,0.0701377437397666,1.70144623867371,56.1507915274482,0.0771062006986959,1.70174773870459,467.208840776742,3.03177933786658,93.4909392505573,531.794520783162,5.03577256994939,106.478051723235,U,2.94573651626706,S,P205+55
ILTJ134455.0+534829.2,206.229204226402,0.113606248240749,1.70379176533969,53.8081056737749,0.114982542473871,1.70388408792199,443.822386506247,4.55416184008354,88.8812287304225,488.436295372983,7.6442258493695,97.9858906901576,U,4.45414707064629,S,P205+55
ILTJ134158.5+541524.9,205.493828509672,0.0821959454110658,1.70198594983684,54.2569213355209,0.0827738257525877,1.70201395594446,435.642919563942,3.26576129455321,87.1897662084308,467.46043706342,5.52707011150269,93.6553197250344,U,3.21201281622052,S,P205+55
ILTJ133832.4+534139.7,204.635118977879,0.110202660406705,1.70356820419985,53.6943497574989,0.111465134403456,1.70365033859286,382.088375664151,3.75296025000279,76.5097757371232,431.085709945322,6.24978253123887,86.4433650111462,U,3.65185178816319,S,P205+55
ILTJ134739.9+550459.6,206.91617146169,0.103083801693918,1.70312250592013,55.0832296332989,0.0980667566186744,1.70282620626819,367.759324027973,3.2169615446227,73.6221818337384,426.887749271139,5.31256393585992,85.5426756343508,U,3.11551103368402,S,P205+55
ILTJ133005.0+541451.6,202.520635171858,0.132660234922853,1.70516824329149,54.2476644736903,0.104234088441076,1.7031925155992,298.646610423096,2.75999328163405,59.7930554462878,425.276023582131,4.28941451995296,85.1632956518074,U,2.59681232273579,S,P200+55
ILTJ135209.6+545835.6,208.040015520161,0.122514287679082,1.70440891533854,54.9765485287584,0.120279392247325,1.70424972706449,362.409580516969,3.90647917248199,72.5871114010226,407.598359027057,6.5114627575628,81.7793130229468,U,3.80328553728759,S,P209+55
ILTJ133932.8+525748.1,204.886813388442,0.135067124614809,1.70535718491808,52.9633548854399,0.140513118214745,1.70579715569889,355.327283894974,4.36310689729196,71.1992685988022,396.634564236875,7.29066713088108,79.6612385612246,U,4.2548761703074,S,P206+52
ILTJ134717.8+550749.0,206.824236762297,0.0842524591452438,1.70208650687091,55.1302729521947,0.0829829123039514,1.70202413723615,359.60191802713,2.71168453095308,71.971486096558,391.658280616881,4.5672763659402,78.4646950190576,U,2.65836156904697,S,P205+55
ILTJ134205.8+552626.6,205.524211140998,0.0693161996838207,1.701412570642,55.4407320631885,0.068649828947953,1.70138555272301,344.890442737169,2.14739181522338,69.0115062237139,375.009937121172,3.61874709098081,75.0892365661916,U,2.10589682683349,C,P205+55
ILTJ134442.1+555312.3,206.175483414571,0.13887088611613,1.70566266389655,55.8867544599788,0.145889129830398,1.70624841046158,319.166909880164,4.04565693940737,63.9614571016756,356.0851336799,6.7623458921853,71.5373623995101,U,3.94649198278785,S,P205+55
ILTJ134744.5+533609.1,206.935462581388,0.140399894198537,1.70578783273037,53.6025222811895,0.144316558230356,1.70611467052466,314.55092719426,3.97390753264892,63.0355722828689,354.169507161384,6.62159981147083,71.1427239862291,U,3.86813445948064,S,P206+52
ILTJ133603.2+535942.6,204.013299474145,0.0811024752055723,1.70193349208612,53.9951531918315,0.111834142704866,1.70367452157815,236.95079632261,1.65157672017813,47.4189297726066,337.94091661685,3.71988834085937,67.6904726990581,U,1.65157672017813,M,P205+55
ILTJ133421.6+532500.4,203.59016623421,0.12031701738872,1.70425238291555,53.4167760292081,0.138653371484148,1.70564496816422,275.743824256632,3.03307478282141,55.2321084810736,336.889341862603,4.92915427766996,67.5579285377947,U,2.90999421849847,C,P41
ILTJ133423.0+532426.4,203.59596026835,0.136077329641896,1.7054374921534,53.4073372107362,0.127562330185703,1.70477920801563,269.208139768183,3.03004096775804,53.9268212391951,326.019465933661,4.93589213827087,65.390448216138,U,2.90999421849847,C,P41
ILTJ133909.6+564556.8,204.789997299034,0.122147622638079,1.7043825983963,56.7657877696905,0.100118135282632,1.70294557781876,249.017101662332,2.30740348569003,49.8568429371345,314.012730490737,3.71572993696189,62.912371163185,U,2.20416765660048,S,P205+55
ILTJ134558.2+560747.5,206.492561882935,0.156300604108448,1.7071701376385,56.1298668480352,0.08508126200996,1.70212773349864,220.450381495991,1.73454161267728,44.1241822890264,309.896893508358,4.1879393383486,62.1207068548557,U,1.73454161267728,M,P205+55
ILTJ134226.9+564511.4,205.612032646746,0.130020747945084,1.70496492482872,56.753179634437,0.167441445654089,1.70822616702904,211.151511032401,2.34513066870797,42.2953669129842,304.434484838152,3.64825412613946,60.9960980761535,U,2.22233147360384,S,P205+55
ILTJ134100.5+543018.6,205.252227374706,0.0753715704742867,1.70167002489782,54.5051780536336,0.0737926702346087,1.70160082222017,276.638541082627,1.85943073376103,55.3589448883071,301.423429869748,3.13171875917989,60.3659757261019,U,1.82292854879051,S,P205+55
ILTJ134048.7+543947.2,205.202949106554,0.125687817469025,1.70463997004063,54.6631061594992,0.0995322759693212,1.70291123490323,193.20443733074,1.58393127362448,38.673337358587,296.642277096833,2.41715890294783,59.3776749259337,U,1.48946896661073,S,P205+55
ILTJ135044.0+544752.8,207.683510083315,0.110871422764973,1.70361159669272,54.7979850700379,0.109323580591317,1.70351156299959,257.928762315761,2.53890202335365,51.6481933921586,286.124022732464,4.25064728325043,57.3824560097502,U,2.47892620973289,S,P209+55
